阿司匹林,2
阿尔卑斯糖,3
艾草,3
艾叶,3
安全帽,1
安全套,4
按摩棒,4
密胺碗,1
密胺餐具,1
档案袋,1
肮脏塑料袋,4
棉袄,1
芭蕉叶,3
八角,3
八宝饭,3
八宝粥,3
锅巴,3
泥巴,4
巴旦木壳,3
扫把,4
拖把,4
旧拖把,4
浴霸灯,1
浴霸灯泡,2
白菜,3
白纸,1
百洁布,4
玻璃摆件,1
一般铁罐,1
板栗,3
复印件版纸,1
干拌面,3
搅拌棒,4
搅拌勺,4
花瓣,3
衣服半成品,1
手办,1
蹄膀,3
鸡翅膀,3
蹄膀骨头,4
棒骨,4
胶棒,4
棉棒,4
蚌壳,4
包包,1
包子,3
布包,1
包装薄膜,4
塑料薄膜,4
薄型塑料袋,4
保健品,2
保龄球,4
保暖杯,1
汉堡,3
汉堡包,3
汉堡盒,4
宝特瓶,1
抱枕,1
报刊,1
报纸,1
海报,1
鲍鱼,3
鲍鱼壳,4
爆竹,4
爆米花,3
铁杯,1
纸杯,4
旧背包,1
贝壳,4
扇贝,3
贝壳类,4
电脑设备,1
被单,1
被套,1
被芯,1
本子,1
绘本,1
课本,1
绷带,4
鼻毛,4
鼻屎,4
鼻涕纸,4
笔,4
笔袋,4
雪碧瓶,1
碧根果壳,4
冥币,4
游戏币,1
避孕套,4
避孕药,2
用过的避孕套,4
鞭炮,4
牛鞭,3
纸张鞭炮,4
编织袋,4
便签,4
变质食品,3
变质的食物,3
标签,4
鼠标,1
标签卡,4
手表,1
钟表,1
电表盒,1
别针,4
曲别针,4
瘪掉的篮球,1
冰袋,4
冰柜,1
冰糖,3
葡萄柄,3
游戏手柄,1
丙烯,4
饼干,3
大饼,3
粉饼,4
病人换下来的纸尿裤,4
玻璃,1
玻璃杯,1
玻璃尺,1
菠菜,3
菠萝,3
菠萝干,3
数字音乐播放器,1
微波炉,1
铂金纸,4
铝箔,1
鋁箔,1
锡箔,4
鸭脖,3
鸭脖子,3
捕蚊灯,1
萝卜,3
胡萝卜,3
萝卜干,3
不锈钢,1
不粘锅,1
尿不湿,4
布,1
布袋,1
电话簿,1
板擦儿,4
擦屎纸,4
擦手巾,4
药材,3
彩笔,4
彩电,1
彩票,4
菜,3
餐盒,4
餐巾,4
餐纸,4
西洋参,3
蚕丝,1
蚕豆壳,3
残羹,3
残花,3
残枝,3
苍蝇,3
苍蝇拍,4
草,3
草莓,3
厕纸,4
厕所纸,4
手册,1
相册,4
宣传册,1
插排,1
插头,1
插座,1
叉子,1
塑料叉子,4
一次性叉子,4
茶,3
茶包,4
茶袋,4
搽鼻涕纸,4
火柴,4
硅胶铲,4
木铲板,1
电器产品,1
电子产品,1
水产类弃物,3
常温牛奶盒,1
常温牛奶盒子,1
平常喝的茶叶,3
长靴,1
长毛绒,1
长生果,3
红肠,3
香肠,3
鱼肠,3
唱片,4
黑胶唱片,4
超能胶,4
手抄报,4
点钞机,1
过朝食品,3
防潮盒,1
防潮剂,4
吸潮剂,4
炒面,3
炒板栗,3
炒花生壳,3
尘土,4
灰尘,4
陈皮,3
衬衫,1
衬衣,1
橙,3
橙皮,3
橙子,3
中成药,2
成人尿布,4
集成电路板,1
体重秤,1
吃过的甘蔗,3
吃剩的快餐,3
吃过的棒棒糖,4
钥匙,1
车钥匙,4
金属汤匙,1
電池,2
蓄电池,2
充电电池,2
齿轮,1
牙齿,4
掉下来的牙齿,4
尺,4
尺子,1
铁尺,1
鸡翅,3
鸡翅骨头,3
白炽灯,2
白炽灯泡,2
充电宝,1
充电器,1
充电线,1
冲泡饮料,3
虫,3
虫子,3
米虫,3
宠物毛,4
抽纸,4
绸带,1
丝绸制品,1
臭豆腐,3
臭鸡蛋,3
臭袜子,4
打印出来的纸,1
厨余,3
厨房纸,4
厨房垃圾,3
除草剂,2
除湿盒,4
除湿机,1
传单,1
传真机,1
传真纸,1
手串,4
窗帘,1
窗纱,4
床单,1
创可贴,4
创口贴,4
用的创可贴,4
吹风机,1
电吹风,1
锤子,1
铁锤,1
春梅,3
唇膏,4
润唇膏,4
磁带,4
磁卡,4
磁铁,1
瓷片,4
瓷器,4
瓷碗,4
鱼刺,3
一次性碗,4
一次塑料杯,4
一次性杯子,4
葱,3
葱蒜,3
大葱,3
醋瓶,1
脆骨,3
水果脆,3
内存条,1
3.5英寸软盘,4
打包袋,4
打包盒,4
打底裤,1
担担面,3
鸡毛掸,4
鸡毛掸子,4
海胆,3
海胆壳,4
鸡旦壳,3
淡菜,3
弹簧,1
子弹,4
蛋,3
蛋糕,3
蛋黄,3
麦当劳纸袋,1
刀片,1
飞刀,1
剪刀,1
导线,1
塑料管道,1
拍立得,1
的确良,1
破的碗,4
贝壳的肉,3
灯管,2
灯泡,2
登山杖,1
低温牛奶盒子,1
竹笛,4
底片,4
粉底,4
地毯,1
烟蒂,4
香烟蒂,4
抽完的烟蒂,4
快递袋,4
快递盒,1
快递箱,1
糕点,3
早点盒,4
垫子,1
护垫,4
电灯,1
电锅,1
淀粉,3
木雕,1
掉落的头发,4
吊牌,4
衣服吊牌,1
钓鱼竿,4
钓鱼钩,4
钓鱼线,4
空调,1
空调机,1
空调扇,1
碟片,4
光碟,4
碗碟,4
丁字裤,4
铁钉,1
图钉,4
洋钉,1
机顶盒,1
吸顶灯,2
电视机顶盒,1
订书钉,4
订书机,1
订书针,4
冬瓜,3
冬笋壳,3
冬枣核,3
动物毛,4
果冻,3
果冻盒,4
冷冻食品,3
电熨斗,1
水斗漏网,4
大豆,3
豆腐,3
豆类,3
毒鼠强,2
杀毒剂,2
消毒药片,2
电子书阅读器,1
杜蕾斯,4
温度计,2
废温度计,2
电子温度计,1
短裤,4
缎带,1
多肉,3
多肉植物,3
养乐多瓶,1
花朵,3
鹅,3
儿童玩具,1
婴儿尿布,4
耳环,1
耳机,1
耳屎,4
二手衣物,1
发胶,4
发蜡,4
发票,4
盐酸伐昔洛韦片,2
书法纸,1
帆布包,1
番茄,3
番薯,3
番茄酱,3
饭,3
菜饭,3
饭菜,3
魔方,4
方便筷,4
方便面,3
防腐剂,4
纺织布,1
纺织品,1
纺织物,1
放大镜,1
录放机,1
咖啡,3
咖啡包,3
咖啡袋,4
飞机杯,4
肥料,4
肥皂,4
花肥,4
